adduser                                 3.118
apt                                     2.2.4
base-files                              11.1+deb11u6
base-passwd                             3.5.51
bash                                    5.1-2+deb11u1
binutils                                2.35.2-2
binutils-arm-linux-gnueabihf            2.35.2-2
binutils-common                         2.35.2-2
bsdutils                                1:2.36.1-8+deb11u1
build-essential                         12.9
bzip2                                   1.0.8-4
ca-certificates                         20210119
coreutils                               8.32-4
cpp                                     4:10.2.1-1
cpp-10                                  10.2.1-6
dash                                    0.5.11+git20200708+dd9ef66-5
debconf                                 1.5.77
debian-archive-keyring                  2021.1.1
debianutils                             4.11.2
diffutils                               1:3.7-5
dpkg                                    1.20.12
dpkg-dev                                1.20.12
e2fsprogs                               1.46.2-2
findutils                               4.8.0-1
g++                                     4:10.2.1-1
g++-10                                  10.2.1-6
gcc                                     4:10.2.1-1
gcc-10                                  10.2.1-6
gcc-10-base                             10.2.1-6
gcc-9-base                              9.3.0-22
gir1.2-glib-2.0                         1.66.1-1+b1
gir1.2-harfbuzz-0.0                     2.7.4-1
gpgv                                    2.2.27-2+deb11u2
grep                                    3.6-1
gzip                                    1.10-4+deb11u1
hostname                                3.23
icu-devtools                            67.1-7
init-system-helpers                     1.60
libacl1                                 2.2.53-10
libapt-pkg6.0                           2.2.4
libasan6                                10.2.1-6
libatomic1                              10.2.1-6
libattr1                                1:2.4.48-6
libaudit-common                         1:3.0-2
libaudit1                               1:3.0-2
libbinutils                             2.35.2-2
libblkid-dev                            2.36.1-8+deb11u1
libblkid1                               2.36.1-8+deb11u1
libbrotli-dev                           1.0.9-2+b2
libbrotli1                              1.0.9-2+b2
libbz2-1.0                              1.0.8-4
libc-bin                                2.31-13+deb11u5
libc-dev-bin                            2.31-13+deb11u5
libc6                                   2.31-13+deb11u5
libc6-dev                               2.31-13+deb11u5
libcap-ng0                              0.7.9-2.2+b1
libcc1-0                                10.2.1-6
libcom-err2                             1.46.2-2
libcrypt-dev                            1:4.4.18-4
libcrypt1                               1:4.4.18-4
libctf-nobfd0                           2.35.2-2
libctf0                                 2.35.2-2
libdb5.3                                5.3.28+dfsg1-0.8
libdebconfclient0                       0.260
libdeflate-dev                          1.7-1
libdeflate0                             1.7-1
libdpkg-perl                            1.20.12
