adduser                                 3.118
apt                                     2.2.4
autoconf                                2.69-14
automake                                1:1.16.3-2
autopoint                               0.21-4
autotools-dev                           20180224.1+nmu1
base-files                              11.1+deb11u6
base-passwd                             3.5.51
bash                                    5.1-2+deb11u1
binutils                                2.35.2-2
binutils-common                         2.35.2-2
binutils-x86-64-linux-gnu               2.35.2-2
bsdextrautils                           2.36.1-8+deb11u1
bsdutils                                1:2.36.1-8+deb11u1
build-essential                         12.9
bzip2                                   1.0.8-4
ca-certificates                         20210119
cmake                                   3.18.4-2+deb11u1
cmake-data                              3.18.4-2+deb11u1
coreutils                               8.32-4+b1
cpp                                     4:10.2.1-1
cpp-10                                  10.2.1-6
dash                                    0.5.11+git20200708+dd9ef66-5
debconf                                 1.5.77
debhelper                               13.3.4
debian-archive-keyring                  2021.1.1
debian-keyring                          2021.07.26
debianutils                             4.11.2
debootstrap                             1.0.123+deb11u1
devscripts                              2.21.3+deb11u1
dh-autoreconf                           20
dh-strip-nondeterminism                 1.12.0-1
diffstat                                1.64-1
diffutils                               1:3.7-5
dirmngr                                 2.2.27-2+deb11u2
dpkg                                    1.20.12
dpkg-dev                                1.20.12
dput                                    1.1.0
dwz                                     0.13+20210201-1
e2fsprogs                               1.46.2-2
ed                                      1.17-1
equivs                                  2.3.1
fakeroot                                1.25.3-1.1
file                                    1:5.39-3
findutils                               4.8.0-1
g++                                     4:10.2.1-1
g++-10                                  10.2.1-6
gcc                                     4:10.2.1-1
gcc-10                                  10.2.1-6
gcc-10-base                             10.2.1-6
gcc-9-base                              9.3.0-22
gettext                                 0.21-4
gettext-base                            0.21-4
gnupg                                   2.2.27-2+deb11u2
gnupg-l10n                              2.2.27-2+deb11u2
gnupg-utils                             2.2.27-2+deb11u2
gpg                                     2.2.27-2+deb11u2
gpg-agent                               2.2.27-2+deb11u2
gpg-wks-client                          2.2.27-2+deb11u2
gpg-wks-server                          2.2.27-2+deb11u2
gpgconf                                 2.2.27-2+deb11u2
gpgsm                                   2.2.27-2+deb11u2
gpgv                                    2.2.27-2+deb11u2
grep                                    3.6-1
groff-base                              1.22.4-6
gzip                                    1.10-4+deb11u1
hostname                                3.23
init-system-helpers                     1.60
intltool-debian                         0.35.0+20060710.5
libacl1                                 2.2.53-10
libaliased-perl                         0.34-1.1
libapt-pkg-perl                         0.1.39
libapt-pkg6.0                           2.2.4
libarchive-zip-perl                     1.68-1
libarchive13                            3.4.3-2+deb11u1
libasan6                                10.2.1-6
libassuan0                              2.5.3-7.1
libatomic1                              10.2.1-6
libattr1                                1:2.4.48-6
libaudit-common                         1:3.0-2
libaudit1                               1:3.0-2
libb-hooks-endofscope-perl              0.24-1.1
libb-hooks-op-check-perl                0.22-1+b3
libbinutils                             2.35.2-2
libblkid1                               2.36.1-8+deb11u1
libbrotli1                              1.0.9-2+b2
libbz2-1.0                              1.0.8-4
libc-bin                                2.31-13+deb11u5
libc-dev-bin                            2.31-13+deb11u5
libc6                                   2.31-13+deb11u5
libc6-dev                               2.31-13+deb11u5
libcap-ng0                              0.7.9-2.2+b1
libcapture-tiny-perl                    0.48-1
libcc1-0                                10.2.1-6
libclass-data-inheritable-perl          0.08-3
libclass-method-modifiers-perl          2.13-1
libclass-xsaccessor-perl                1.19-3+b7
libclone-perl                           0.45-1+b1
libcom-err2                             1.46.2-2
libconfig-tiny-perl                     2.26-1
libcpanel-json-xs-perl                  4.25-1+b1
libcrypt-dev                            1:4.4.18-4
libcrypt1                               1:4.4.18-4
libctf-nobfd0                           2.35.2-2
libctf0                                 2.35.2-2
libcurl4                                7.74.0-1.3+deb11u5
libdata-dpath-perl                      0.58-1
libdata-messagepack-perl                1.00-4+b1
libdata-optlist-perl                    0.110-1.1
libdata-validate-domain-perl            0.10-1.1
libdb5.3                                5.3.28+dfsg1-0.8
libdebconfclient0                       0.260
libdebhelper-perl                       13.3.4
libdevel-callchecker-perl               0.008-1+b2
libdevel-size-perl                      0.83-1+b2
libdevel-stacktrace-perl                2.0400-1
libdpkg-perl                            1.20.12
libdynaloader-functions-perl            0.003-1.1
libelf1                                 0.183-1
libemail-address-xs-perl                1.04-1+b3
libencode-locale-perl                   1.05-1.1
libevent-2.1-7                          2.1.12-stable-1
libexception-class-perl                 1.44-1
libexpat1                               2.2.10-2+deb11u5
libexporter-tiny-perl                   1.002002-1
libext2fs2                              1.46.2-2
libfakeroot                             1.25.3-1.1
libffi7                                 3.3-6
libfile-basedir-perl                    0.08-1
libfile-dirlist-perl                    0.05-2
libfile-find-rule-perl                  0.34-1
libfile-homedir-perl                    1.006-1
libfile-listing-perl                    6.14-1
libfile-stripnondeterminism-perl        1.12.0-1
libfile-touch-perl                      0.11-1
libfile-which-perl                      1.23-1
libfont-ttf-perl                        1.06-1.1
libgcc-10-dev                           10.2.1-6
libgcc-s1                               10.2.1-6
libgcrypt20                             1.8.7-6
libgdbm-compat4                         1.19-2
libgdbm6                                1.19-2
libgmp-dev                              2:6.2.1+dfsg-1+deb11u1
libgmp10                                2:6.2.1+dfsg-1+deb11u1
libgmpxx4ldbl                           2:6.2.1+dfsg-1+deb11u1
libgnutls-dane0                         3.7.1-5+deb11u2
libgnutls-openssl27                     3.7.1-5+deb11u2
libgnutls28-dev                         3.7.1-5+deb11u2
libgnutls30                             3.7.1-5+deb11u2
libgnutlsxx28                           3.7.1-5+deb11u2
libgomp1                                10.2.1-6
libgpg-error0                           1.38-2
libgpgme11                              1.14.0-1+b2
libgssapi-krb5-2                        1.18.3-6+deb11u3
libhogweed6                             3.7.3-1
libhtml-html5-entities-perl             0.004-1.1
libhtml-parser-perl                     3.75-1+b1
libhtml-tagset-perl                     3.20-4
libhtml-tree-perl                       5.07-2
libhttp-cookies-perl                    6.10-1
libhttp-date-perl                       6.05-1
libhttp-message-perl                    6.28-1
libhttp-negotiate-perl                  6.01-1
libicu67                                67.1-7
libidn2-0                               2.3.0-5
libidn2-dev                             2.3.0-5
libimport-into-perl                     1.002005-1
libio-html-perl                         1.004-2
libio-pty-perl                          1:1.15-2
libio-socket-ssl-perl                   2.069-1
libio-string-perl                       1.08-3.1
libipc-run-perl                         20200505.0-1
